,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_ATG,SG_APP,SG_OTT,SG_TTG,SG_T,PAR3,PAR4,PAR5,POINTS,TOP 10,1ST,Year
0,Matt Kuchar,97,69.606,286.9,67.89,69.36,.648,.334,.336,.158,.827,1.461,3.02,3.96,4.56,"2,728",11,1,2010
1,Steve Stricker,73,69.660,282.9,68.50,68.29,.437,.419,.773,.191,1.383,1.818,2.99,3.99,4.58,"2,028",9,2,2010
2,Retief Goosen,75,69.718,291.4,64.79,65.96,.679,.395,.185,.337,.917,1.598,3.04,3.99,4.60,"1,360",10,,2010
3,Paul Casey,64,69.720,294.2,61.31,68.68,.812,-.111,.483,.215,.587,1.411,3.03,3.98,4.64,"2,250",7,,2010
4,Jim Furyk,76,69.828,276.0,71.01,67.12,.402,.367,.641,.150,1.159,1.564,3.02,3.99,4.70,"2,980",7,3,2010
5,Ernie Els,72,69.843,288.4,60.16,67.86,.330,.043,.735,.215,.992,1.322,3.13,3.98,4.63,"1,438",7,2,2010
6,Luke Donald,71,69.850,277.0,62.36,65.28,.870,.464,.661,-.506,.619,1.493,3.00,4.00,4.71,"2,700",7,,2010
7,Justin Rose,78,69.885,287.8,65.17,66.31,.243,.447,.168,.338,.952,1.195,3.03,4.00,4.63,718,4,2,2010
8,Bo Van Pelt,104,69.955,292.0,65.23,69.23,.098,.107,.260,.724,1.091,1.192,3.06,3.99,4.61,445,8,,2010
9,Phil Mickelson,76,69.966,299.1,52.66,65.13,-.147,.228,.738,.185,1.151,1.001,3.05,4.01,4.58,843,6,1,2010
10,J.B. Holmes,100,70.089,307.2,54.45,65.50,.064,.113,.026,.729,.868,.936,3.10,4.01,4.55,"1,501",3,,2010
11,K.J. Choi,82,70.099,283.1,65.99,68.52,.054,.269,.507,.151,.927,.984,3.02,4.02,4.65,718,4,,2010
12,Robert Allenby,76,70.131,289.1,64.75,68.17,.137,-.031,.642,.403,1.014,1.156,3.07,4.02,4.62,500,5,,2010
13,Dustin Johnson,83,70.135,308.5,56.35,67.95,.112,-.179,.288,.760,.869,.979,3.05,4.03,4.58,"2,493",7,2,2010
14,Padraig Harrington,57,70.174,292.1,56.70,61.90,.267,.379,.524,-.104,.799,1.063,3.06,4.05,4.65,772,5,,2010
15,Dean Wilson,54,70.223,281.6,67.37,68.98,.781,.139,.158,-.341,-.044,.736,2.99,3.97,4.72,434,1,,2010
16,Bubba Watson,77,70.229,309.8,55.67,68.54,-.077,-.168,.140,.798,.770,.695,3.12,4.01,4.52,600,4,1,2010
17,Ben Crane,85,70.234,282.3,71.13,68.22,.266,.046,.379,.169,.594,.862,3.07,4.00,4.67,550,5,1,2010
18,Tim Clark,88,70.246,272.2,73.72,66.73,.269,-.003,.591,-.025,.564,.832,3.01,4.01,4.71,593,7,1,2010
19,Charley Hoffman,85,70.254,298.2,61.59,66.53,.104,-.065,.317,.638,.889,.995,3.04,4.00,4.57,"2,500",5,1,2010
20,Brandt Snedeker,89,70.258,277.1,64.27,62.36,.464,.308,.088,-.287,.109,.572,3.03,4.02,4.65,"1,470",5,,2010
21,Jason Day,82,70.274,298.2,57.78,67.68,-.009,.444,.054,.254,.752,.738,3.01,4.03,4.68,"1,660",5,1,2010
22,Charlie Wi,95,70.284,281.2,64.19,66.55,.574,.127,.280,-.286,.120,.679,3.05,3.98,4.70,"1,560",4,,2010
23,Nick Watney,91,70.291,296.5,62.63,69.63,.090,-.304,.517,.593,.806,.915,3.06,4.00,4.65,880,8,,2010
24,Charles Howell III,103,70.292,294.3,54.58,68.57,.452,.324,.046,-.041,.329,.784,3.03,4.00,4.60,764,6,,2010
25,Bill Haas,87,70.308,293.3,64.17,69.92,-.065,.005,.515,.464,.985,.918,3.03,4.02,4.59,"1,565",4,2,2010
26,Kevin Na,94,70.314,278.6,66.46,65.89,.493,.276,.333,-.247,.362,.854,3.01,4.00,4.66,570,4,,2010
27,Steve Elkington,74,70.318,289.2,68.01,68.71,.328,.049,-.191,.368,.226,.557,3.02,4.00,4.63,571,3,,2010
28,David Toms,86,70.337,281.3,71.88,67.58,.274,.058,.122,.254,.433,.693,2.97,4.01,4.72,"1,118",2,,2010
29,Vijay Singh,75,70.343,292.3,63.28,68.62,-.739,.145,.979,.369,1.494,.753,3.10,4.04,4.61,"1,108",2,,2010
30,Brendon de Jonge,114,70.344,286.9,65.51,70.07,.000,-.125,.721,.160,.757,.762,3.02,4.00,4.65,"1,170",7,,2010
31,Chris Riley,73,70.345,278.3,68.70,67.33,.185,.364,-.177,.164,.351,.538,3.03,3.99,4.71,512,3,,2010
32,Rory McIlroy,54,70.351,300.0,62.64,66.24,-.225,-.025,.271,.698,.944,.714,3.13,3.99,4.78,"1,489",5,1,2010
33,Paul Stankowski,62,70.354,290.3,65.38,70.88,.332,-.160,.377,.016,.233,.561,2.94,4.01,4.63,296,2,,2010
34,Joe Durant,67,70.365,285.6,75.94,71.95,-.292,-.118,.296,.597,.775,.481,3.10,3.95,4.67,321,2,,2010
35,Freddie Jacobson,83,70.367,283.1,62.16,67.80,.241,.241,.302,-.064,.479,.722,3.00,3.99,4.76,"1,101",3,,2010
36,Spencer Levin,110,70.385,280.6,65.12,69.88,.132,-.034,.413,.054,.433,.564,2.98,4.01,4.68,673,3,,2010
37,Bryce Molder,84,70.403,278.0,63.16,65.28,.476,.205,.235,-.406,.034,.507,3.05,3.99,4.74,"1,088",6,,2010
38,Justin Leonard,89,70.419,277.8,69.46,65.09,.181,.242,.299,-.184,.356,.539,3.06,4.03,4.71,"1,096",1,,2010
39,Camilo Villegas,78,70.425,289.6,61.66,66.05,-.396,.122,.755,.210,1.087,.691,3.06,4.04,4.72,623,7,1,2010
40,Rickie Fowler,98,70.429,292.7,64.19,69.90,.129,-.138,.395,.408,.665,.793,3.01,4.01,4.69,"1,564",7,,2010
41,Stewart Cink,84,70.431,292.4,63.98,68.61,.190,-.111,.309,.431,.628,.827,3.11,4.02,4.59,"1,448",3,,2010
42,Jonathan Byrd,85,70.437,290.9,61.54,70.00,.029,.354,.046,.091,.491,.524,3.05,4.01,4.61,483,4,1,2010
43,Adam Scott,70,70.468,294.4,62.93,69.61,-.746,-.027,1.164,.472,1.609,.862,3.06,4.03,4.67,640,4,1,2010
44,Ricky Barnes,103,70.470,285.5,58.37,68.23,.021,.149,.675,-.244,.580,.604,3.05,4.00,4.73,"1,027",6,,2010
45,Hunter Mahan,85,70.476,291.8,67.94,68.65,.068,-.115,.069,.642,.596,.665,3.04,4.03,4.66,678,3,2,2010
46,Jeff Overton,89,70.497,297.3,55.44,66.86,.409,-.074,.064,.232,.222,.630,2.98,4.01,4.72,480,6,,2010
47,Shaun Micheel,70,70.499,283.2,62.67,64.61,.235,.205,.182,-.136,.251,.487,2.98,4.02,4.79,600,3,,2010
48,Tom Gillis,97,70.514,288.7,68.54,65.98,.359,.210,-.297,.348,.261,.616,3.00,4.03,4.59,"1,276",3,,2010
49,Zach Johnson,93,70.527,279.7,71.24,66.54,.583,-.129,.221,.118,.210,.792,3.00,4.03,4.71,683,3,1,2010
50,Carl Pettersson,99,70.552,282.1,62.82,63.80,.818,.069,-.152,-.180,-.263,.554,3.08,3.97,4.78,"1,332",4,1,2010
51,Pat Perez,90,70.593,287.1,65.23,68.95,.379,.199,-.001,-.005,.193,.572,2.96,3.99,4.72,581,3,,2010
52,Chad Collins,87,70.599,275.8,60.27,63.29,.626,.293,-.116,-.660,-.483,.143,2.99,4.01,4.66,540,3,,2010
53,Sean O'Hair,84,70.603,289.3,63.98,68.22,-.071,.068,.198,.431,.697,.615,3.03,4.02,4.72,"1,206",3,,2010
54,Kevin Sutherland,86,70.604,287.9,66.89,71.96,-.094,.303,.054,.201,.558,.468,3.06,4.00,4.63,499,1,,2010
55,Matt Jones,89,70.605,293.3,57.07,65.29,.509,.321,-.219,-.122,-.020,.495,3.03,4.04,4.61,"1,035",5,,2010
56,John Senden,103,70.618,290.2,67.22,72.49,-.139,-.078,.455,.372,.749,.608,3.02,4.01,4.68,"1,192",2,,2010
57,Ryan Moore,80,70.623,289.7,67.99,66.67,.299,-.091,.026,.450,.385,.687,3.06,4.04,4.63,613,6,,2010
